iter	Logloss
0	0.6775920157
1	0.6618387957
2	0.6495840564
3	0.637739642
4	0.627692464
5	0.6160255952
6	0.6056453658
7	0.5959897015
8	0.5841558531
9	0.5739423618
10	0.5619329601
11	0.5550486221
12	0.5469193432
13	0.5378304676
14	0.5285999773
15	0.5192100738
16	0.5106732457
17	0.5028407143
18	0.4954521736
19	0.4881690476
20	0.4818462556
21	0.4757362073
22	0.4701982087
23	0.4638523947
24	0.4561323489
25	0.4481516664
26	0.4422482209
27	0.4370542654
28	0.4323964919
29	0.4277543855
30	0.423171705
31	0.4189139226
32	0.4136041461
33	0.4090800779
34	0.4044371788
35	0.3997780944
36	0.3954380005
37	0.3916860416
38	0.3877561693
39	0.3825424325
40	0.3786582078
41	0.3747182376
42	0.3708839091
43	0.3676234224
44	0.3644307213
45	0.3608494453
46	0.3573699622
47	0.3541647991
48	0.3511553892
49	0.3481961101
50	0.345123903
51	0.3423033212
52	0.3392121499
53	0.3357023824
54	0.3330365202
55	0.3307031583
56	0.3281501948
57	0.3256555263
58	0.3235368397
59	0.3212440684
60	0.3191392972
61	0.3167779285
62	0.3149635801
63	0.3128127091
64	0.3107433771
65	0.3091167369
66	0.3065297269
67	0.3045522336
68	0.3029051475
69	0.3012363648
70	0.2991642079
71	0.2973553834
72	0.2957710001
73	0.293506249
74	0.2913856669
75	0.2894651752
76	0.2874644239
77	0.2862373489
78	0.2850878887
79	0.2835467481
80	0.2816337084
81	0.2796880284
82	0.2787619303
83	0.277364296
84	0.2761287104
85	0.275299383
86	0.2738080143
87	0.2729355465
88	0.2720380122
89	0.2709171186
90	0.2699465648
91	0.2687839381
92	0.2676468434
93	0.2660819454
94	0.2647331063
95	0.2638619261
96	0.2631286166
97	0.2620572581
98	0.2613113189
99	0.2603777765
100	0.2593929126
101	0.2584395379
102	0.2576430156
103	0.2565125795
104	0.2553868157
105	0.2543836903
106	0.2536384229
107	0.2526684994
108	0.2516243987
109	0.2503594165
110	0.2495523932
111	0.2488678061
112	0.2480420304
113	0.2473521786
114	0.2465510286
115	0.2459415811
116	0.2453100978
117	0.2445435059
118	0.243813207
119	0.2430693879
120	0.2422893927
121	0.2415134789
122	0.2407969404
123	0.2402331226
124	0.2396970099
125	0.2391647592
126	0.2384725924
127	0.2377511979
128	0.2371184253
129	0.2366479715
130	0.2361252416
131	0.2353822131
132	0.2349400258
133	0.2341689418
134	0.2335237126
135	0.2332028525
136	0.2325872099
137	0.232120551
138	0.2316096285
139	0.2308723518
140	0.2303022849
141	0.2297526396
142	0.2292099745
143	0.2287163876
144	0.2282489071
145	0.2276528863
146	0.2271207125
147	0.2265035758
148	0.2261415293
149	0.2257185648
150	0.2252315263
151	0.2246682095
152	0.2240821276
153	0.2235894143
154	0.2232220124
155	0.2227819019
156	0.2222480349
157	0.2218723409
158	0.2214996786
159	0.2210403461
160	0.2208355615
161	0.2203328487
162	0.2200304858
163	0.219371348
164	0.2192337008
165	0.2190341242
166	0.218672399
167	0.2181800745
168	0.2176247136
169	0.2173142079
170	0.2169887777
171	0.2167775409
172	0.2165774537
173	0.2161515943
174	0.2157505867
175	0.2153753165
176	0.2150497199
177	0.2146403183
178	0.2142522527
179	0.2138960055
180	0.2136980393
181	0.2132999345
182	0.2128624216
183	0.2123991128
184	0.2120441583
185	0.2116393328
186	0.2111952726
187	0.2108258815
188	0.210536993
189	0.2099887305
190	0.2096158451
