iter	Passed	Remaining
0	16	16657
1	30	15439
2	33	11110
3	45	11415
4	61	12239
5	76	12676
6	92	13111
7	107	13323
8	122	13474
9	137	13661
10	153	13797
11	169	13918
12	183	13964
13	186	13123
14	188	12400
15	191	11746
16	193	11177
17	195	10666
18	197	10207
19	200	9803
20	202	9437
21	204	9106
22	207	8798
23	209	8509
24	211	8258
25	214	8021
26	230	8302
27	233	8097
28	235	7897
29	244	7915
30	247	7747
31	259	7849
32	275	8060
33	291	8272
34	308	8510
35	311	8334
36	322	8403
37	338	8557
38	352	8688
39	368	8854
40	383	8979
41	400	9126
42	415	9238
43	430	9342
44	446	9467
45	461	9573
46	476	9666
47	492	9763
48	507	9850
49	523	9937
50	525	9787
51	529	9647
52	532	9519
53	551	9668
54	566	9733
55	581	9798
56	596	9871
57	611	9931
58	626	9990
59	641	10053
60	656	10111
61	671	10160
62	687	10227
63	702	10280
64	718	10339
65	733	10380
66	748	10424
67	763	10467
68	778	10510
69	781	10379
70	783	10255
71	794	10246
72	809	10279
73	812	10164
74	826	10191
75	841	10227
76	843	10114
77	856	10124
78	871	10162
79	887	10201
80	889	10094
81	909	10183
82	913	10097
83	919	10024
84	923	9937
85	934	9936
86	938	9851
87	942	9767
88	948	9704
89	963	9743
90	976	9754
91	1008	9956
92	1024	9989
93	1039	10020
94	1043	9941
95	1054	9931
96	1062	9895
97	1069	9839
98	1072	9759
99	1082	9746
100	1098	9775
101	1112	9796
102	1128	9830
103	1144	9863
104	1160	9890
105	1175	9914
106	1178	9831
107	1191	9843
108	1195	9768
109	1198	9693
110	1205	9651
111	1207	9575
112	1221	9585
113	1224	9516
114	1235	9508
115	1249	9525
116	1265	9551
117	1281	9577
118	1297	9603
119	1312	9625
120	1328	9648
121	1344	9672
122	1359	9693
123	1362	9622
124	1364	9551
125	1367	9482
126	1374	9451
127	1390	9471
128	1405	9490
129	1408	9424
130	1410	9357
131	1412	9290
132	1414	9218
133	1416	9154
134	1420	9104
135	1436	9123
136	1451	9140
137	1465	9156
138	1468	9095
139	1471	9036
140	1473	8976
141	1475	8916
142	1480	8870
143	1482	8811
144	1484	8754
145	1495	8744
146	1510	8763
147	1525	8779
148	1527	8725
149	1529	8669
150	1532	8614
151	1534	8560
152	1536	8506
153	1539	8456
154	1541	8403
155	1544	8354
156	1555	8350
157	1557	8301
158	1560	8252
159	1562	8204
160	1565	8156
161	1567	8108
162	1570	8062
163	1572	8015
164	1575	7970
165	1577	7924
166	1580	7881
167	1582	7837
168	1585	7797
169	1588	7757
170	1601	7762
171	1616	7781
172	1632	7805
173	1635	7762
174	1637	7718
175	1639	7675
176	1641	7634
177	1644	7592
178	1646	7551
179	1648	7511
180	1651	7472
181	1654	7435
182	1662	7423
183	1677	7438
184	1692	7457
185	1695	7417
186	1697	7380
187	1707	7375
188	1723	7397
189	1738	7411
190	1752	7424
191	1755	7387
192	1758	7351
193	1768	7348
194	1784	7365
195	1799	7381
196	1814	7395
197	1816	7357
198	1819	7323
199	1829	7317
200	1844	7332
201	1846	7295
202	1849	7261
203	1860	7258
204	1874	7269
205	1876	7233
206	1879	7198
207	1881	7163
208	1883	7128
209	1885	7093
210	1887	7059
211	1890	7027
212	1904	7038
213	1920	7054
214	1936	7069
215	1951	7084
216	1967	7098
217	1981	7109
218	1984	7078
219	1996	7078
220	2011	7089
221	2027	7104
222	2042	7115
223	2056	7125
224	2071	7136
225	2074	7103
226	2076	7072
227	2087	7068
228	2103	7081
229	2118	7092
230	2134	7104
231	2150	7117
232	2165	7127
233	2168	7098
234	2171	7067
235	2180	7058
236	2183	7028
237	2195	7028
238	2197	6998
239	2200	6967
240	2226	7011
241	2242	7022
242	2256	7031
243	2259	7000
244	2262	6973
245	2271	6963
246	2275	6937
247	2287	6936
248	2301	6942
249	2316	6950
250	2332	6960
251	2347	6969
252	2362	6976
253	2379	6987
254	2394	6996
255	2410	7004
256	2426	7013
257	2441	7021
258	2457	7029
259	2471	7035
260	2474	7007
261	2487	7007
262	2503	7016
263	2519	7023
264	2535	7031
265	2537	7001
266	2551	7003
267	2566	7008
268	2581	7015
269	2596	7019
270	2611	7024
271	2627	7031
272	2643	7039
273	2658	7045
274	2661	7016
275	2674	7014
276	2689	7018
277	2703	7022
278	2719	7028
279	2734	7030
280	2749	7035
281	2763	7036
282	2780	7043
283	2795	7048
284	2798	7020
285	2811	7018
286	2813	6990
287	2827	6989
288	2829	6961
289	2842	6959
290	2857	6962
291	2873	6967
292	2888	6969
293	2903	6972
294	2919	6977
295	2935	6980
296	2951	6986
297	2967	6991
298	2983	6994
299	2986	6968
300	2998	6963
301	3014	6967
302	3029	6969
303	3045	6972
304	3061	6976
305	3076	6977
306	3091	6979
307	3107	6981
308	3122	6982
309	3138	6985
310	3154	6987
311	3169	6988
312	3186	6993
313	3201	6994
314	3217	6997
315	3235	7003
316	3248	6999
317	3252	6974
318	3261	6962
319	3276	6963
320	3291	6962
321	3307	6964
322	3323	6965
323	3338	6965
324	3354	6966
325	3369	6966
326	3384	6966
327	3399	6965
328	3415	6966
329	3431	6967
330	3434	6941
331	3436	6915
332	3439	6889
333	3442	6863
334	3446	6841
335	3462	6843
336	3479	6844
337	3494	6844
338	3510	6844
339	3524	6841
340	3539	6840
341	3553	6837
342	3556	6812
343	3558	6786
344	3561	6762
345	3564	6737
346	3566	6712
347	3578	6705
348	3581	6680
349	3593	6673
350	3609	6673
351	3612	6650
352	3625	6644
353	3640	6643
354	3655	6642
355	3658	6618
356	3671	6613
357	3687	6611
358	3689	6587
359	3692	6563
360	3701	6552
361	3717	6551
362	3732	6550
363	3747	6548
364	3762	6545
365	3778	6544
366	3793	6542
367	3809	6542
368	3824	6539
369	3839	6538
370	3855	6536
371	3870	6534
372	3886	6533
373	3902	6531
374	3933	6555
375	3949	6554
376	3963	6550
377	3979	6549
378	3995	6546
379	3998	6523
380	4011	6517
381	4025	6512
382	4041	6511
383	4045	6489
384	4048	6466
385	4057	6453
386	4060	6431
387	4072	6423
388	4088	6421
389	4104	6419
390	4108	6399
391	4111	6377
392	4115	6356
393	4134	6358
394	4149	6355
395	4164	6351
396	4179	6348
397	4194	6344
398	4209	6340
399	4227	6340
400	4241	6336
401	4256	6332
402	4273	6330
403	4289	6327
404	4303	6322
405	4319	6319
406	4334	6315
407	4337	6293
408	4349	6285
409	4365	6282
410	4381	6278
411	4397	6275
412	4411	6269
413	4414	6249
414	4426	6239
415	4441	6234
416	4443	6212
417	4446	6191
418	4456	6180
419	4471	6175
420	4474	6153
421	4476	6131
422	4486	6120
423	4501	6115
424	4531	6131
425	4562	6147
426	4565	6126
427	4567	6104
428	4578	6093
429	4593	6089
430	4608	6083
431	4623	6078
432	4638	6073
433	4640	6052
434	4644	6031
435	4653	6020
436	4669	6015
437	4684	6011
438	4700	6007
439	4716	6002
440	4732	5998
441	4747	5992
442	4763	5989
443	4778	5984
444	4794	5979
445	4797	5958
446	4799	5937
447	4801	5916
448	4803	5894
449	4805	5873
450	4807	5852
451	4811	5833
452	4824	5826
453	4840	5820
454	4855	5815
455	4870	5810
456	4873	5790
457	4875	5769
458	4878	5749
459	4880	5729
460	4884	5710
461	4886	5690
462	4913	5698
463	4915	5678
464	4918	5658
465	4920	5638
466	4930	5626
467	4944	5620
468	4959	5615
469	4974	5609
470	4990	5605
471	5005	5599
472	5020	5593
473	5022	5573
474	5025	5554
475	5027	5534
476	5029	5514
477	5031	5494
478	5033	5475
479	5036	5455
480	5038	5436
481	5040	5417
482	5043	5398
483	5045	5379
484	5048	5360
485	5066	5358
486	5081	5352
487	5097	5347
